fecha,hora,mmsi,nombre,zona
2026-09-07,17:20:10,720694000,IB LADARIO,Rosario
2026-09-07,17:20:10,257897000,BOW FIRDA,Rosario
2026-09-07,17:20:10,352006388,NORSE BORNHOLM,Rosario
2026-09-07,17:20:10,636024379,STAR WESTPORT,Rosario
2026-09-07,17:20:10,563065800,FLORA SCHULTE,Rosario
2026-09-07,17:20:10,7010004,,Rosario
2026-09-07,17:20:10,538010750,TOKYO SPIRIT,Rosario
2026-09-07,17:20:10,755021000,CAVALIER VII,Rosario
2026-09-07,17:20:10,538006458,ODYSSEUS N,Rosario
2026-09-07,17:20:10,538009547,MEDITERRANEAN SPIRIT,Rosario
2026-09-07,17:20:10,311016600,CS CAPRICE,Rosario
2026-09-07,17:20:10,701006966,TIGRE,Rosario
2026-09-07,17:20:10,563054100,MTM BIG APPLE,Rosario
2026-09-07,17:20:10,352001142,GLORY FIRST,Rosario
2026-09-07,17:20:10,636024043,TG CRAB,Rosario
2026-09-07,17:20:10,636023897,ANNELIESE,Rosario
2026-09-07,17:20:10,636023728,TAI STEADINESS,Rosario
2026-09-07,17:20:10,352006096,PALEXPO,Rosario
2026-09-07,17:20:10,538010532,DEANA,Rosario
2026-09-07,17:20:10,538090690,LEONARDO,Rosario
2026-09-07,17:20:10,352004948,OBE UNITY,Rosario
2026-09-07,17:20:10,701001114,IGUAZU,Rosario
2026-09-07,17:20:10,355174000,APOGEE SPIRIT,Rosario
2026-09-07,17:20:10,755991013,,Rosario
2026-09-07,17:20:10,636025133,YAMI BENEFIT,Rosario
2026-09-07,17:20:10,720671000,,Rosario
2026-09-07,17:20:10,755001797,PARAPITI.,Rosario
2026-09-07,17:20:10,701006443,MAYU,Rosario
2026-09-07,17:20:10,538012594,KAPETANIOS,Rosario
2026-09-07,17:20:10,701006856,PILCOMAYO,Rosario
2026-09-07,17:20:10,701006310,ARGENTINO I,Rosario
2026-09-07,17:20:10,341694002,H7 HSB5,Rosario
2026-09-07,17:20:10,701006740,GUILLERMO C,Rosario
2026-09-07,17:20:10,538008779,LIVADI,Rosario
2026-09-07,17:20:10,701006297,ANTONIO MARIA FERRO,Rosario
2026-09-07,17:20:10,701006675,CAMPEADOR,Rosario
2026-09-07,17:20:10,701001264,TRIUNFOS,Rosario
2026-09-07,17:20:10,701006899,DON BASILIO,Rosario
2026-09-07,17:20:10,701006926,FAVORITO SAN ANTONIO,Rosario
2026-09-07,17:20:10,701006670,BRUTUS,Rosario
2026-09-07,17:20:10,701006396,VB RECOLETA,Rosario
2026-09-07,17:20:10,701006858,CUECA,Rosario
2026-09-07,17:20:10,636026119,EVAGELIA,Rosario
2026-09-07,17:20:10,701001024,ALBERTO CACHIARELLI,Rosario
2026-09-07,17:20:10,701006242,,Rosario
2026-09-07,17:20:10,755164000,BELEN B,Rosario
2026-09-07,17:20:10,755003887,MARIA A,DelGuazu
