fecha,hora,puerto,mmsi,nombre,distancia_m,zona
2026-09-05,17:00:15,Puerto Rosario S. A. Terminal 1,477754600,MAERSK VENEZIA,67.8,SanLorenzo
2026-09-05,17:00:15,Terminal 6 S.A. Muelle Sur,538004481,AGIA PARASKEVI,126.5,SanLorenzo
2026-09-05,17:00:15,Louis Dreyfus y Cia. Ltda. Timbúes,341694002,H7 HSB5,331.5,SanLorenzo
2026-09-05,17:00:15,Unidad VI Servicios Portuarios S.A.,538010750,TOKYO SPIRIT,183.0,SanLorenzo
2026-09-05,17:00:15,Cofco S.A.,636024698,MC CALYPSO,145.2,SanLorenzo
2026-09-05,17:00:15,Central Termoeléctrica Timbués Renova,636093258,EMMA JANNEKE,290.7,SanLorenzo
2026-09-05,17:00:15,Bunge - La Plata Cereal S.A. Muelle Dempa,256685000,RODINA,150.7,SanLorenzo
2026-09-05,17:00:15,Central Termoeléctrica Timbués Renova,563234800,IVS DUNES,163.4,SanLorenzo
2026-09-05,17:00:15,Bunge - La Plata Cereal S.A.,538004184,BLACK PEARL,186.1,SanLorenzo
2026-09-05,17:00:15,Terminal Chacabuco YPF,701001114,IGUAZU,117.9,SanLorenzo
2026-09-05,17:00:15,Terminal Chacabuco YPF,701001057,VALENTINA H,125.0,SanLorenzo
2026-09-05,17:00:15,Terminal Chacabuco YPF,701001307,MAX DREAM,99.7,SanLorenzo
2026-09-05,17:00:15,Cargill S.A. Villa Gdor. Gálvez,241624000,LEGEND,321.5,SanLorenzo
2026-09-05,17:00:15,Mosaic S.A. Muelle De Fertilizantes,352006388,NORSE BORNHOLM,185.7,SanLorenzo
2026-09-05,17:00:15,Louis Dreyfus y Cia. Ltda. Muelle Aceitero,538008276,,216.3,SanLorenzo
2026-09-05,17:00:15,Unidad VI Servicios Portuarios S.A.,538012594,KAPETANIOS,156.7,SanLorenzo
2026-09-05,17:00:15,Molinos Rí­o De La Plata,256672000,ARIETTA,374.3,SanLorenzo
2026-09-05,17:00:15,Terminal Chacabuco YPF,701001324,HALCON,116.0,SanLorenzo
2026-09-05,17:00:15,Axion San Lorenzo,538009801,HELIOS,159.0,SanLorenzo
2026-09-05,17:00:15,Puerto San Lorenzo,563163900,ANNA SCHULTE,106.5,SanLorenzo
2026-09-05,17:00:15,Cargill S.A. Muelle Quebracho,538008936,SOUND YOUNG,216.3,SanLorenzo
2026-09-05,17:00:15,ADM Agro Terminal El Tránsito,563033900,TORM SUPREME,92.3,SanLorenzo
2026-09-05,17:00:15,Cofco S.A.,701006396,VB RECOLETA,221.3,SanLorenzo
2026-09-05,17:00:15,Puerto Diamante,701006803,ANTONIO PUGLIESE,453.3,SanLorenzo
2026-09-05,17:00:15,Cargill S.A. Punta Alvear,538011430,SOFIA,109.2,SanLorenzo
2026-09-05,17:00:15,Yeruvá S.A.,701006297,ANTONIO MARIA FERRO,100.3,SanLorenzo
2026-09-05,17:00:15,Puerto Villa Constitución Unidad II,701006679,,71.0,Rosario
2026-09-05,17:00:15,Vicentin S.A.I.C,357458000,BULK ITALY,199.3,Rosario
2026-09-05,17:00:15,Puerto Rosario S. A. Terminal 1,477754600,MAERSK VENEZIA,67.8,Rosario
2026-09-05,17:00:15,Unidad VI Servicios Portuarios S.A.,538010750,TOKYO SPIRIT,183.0,Rosario
2026-09-05,17:00:15,Bunge - La Plata Cereal S.A. Muelle Dempa,256685000,RODINA,150.7,Rosario
2026-09-05,17:00:15,Bunge - La Plata Cereal S.A.,538004184,BLACK PEARL,186.1,Rosario
2026-09-05,17:00:15,Cargill S.A. Villa Gdor. Gálvez,241624000,LEGEND,321.5,Rosario
2026-09-05,17:00:15,Mosaic S.A. Muelle De Fertilizantes,352006388,NORSE BORNHOLM,185.7,Rosario
2026-09-05,17:00:15,Louis Dreyfus y Cia. Ltda. Muelle Aceitero,538008276,PORT IMABARI,216.3,Rosario
2026-09-05,17:00:15,Unidad VI Servicios Portuarios S.A.,538012594,KAPETANIOS,156.7,Rosario
2026-09-05,17:00:15,Molinos Rí­o De La Plata,256672000,ARIETTA,374.3,Rosario
2026-09-05,17:00:15,Axion San Lorenzo,538009801,HELIOS,159.0,Rosario
2026-09-05,17:00:15,Puerto San Lorenzo,563163900,ANNA SCHULTE,106.5,Rosario
2026-09-05,17:00:15,Cargill S.A. Muelle Quebracho,538008936,SOUND YOUNG,216.3,Rosario
2026-09-05,17:00:15,Cofco S.A.,701006396,VB RECOLETA,221.3,Rosario
2026-09-05,17:00:15,Cargill S.A. Punta Alvear,538011430,SOFIA,109.2,Rosario
2026-09-05,17:00:15,Yeruvá S.A.,701006297,ANTONIO MARIA FERRO,100.3,Rosario
2026-09-05,17:00:15,Carboclor S.A.,215622000,TAXIDIARA,111.8,DelGuazu
2026-09-05,17:00:15,Siderca S.A.,636019109,JY LAKE,374.9,DelGuazu
2026-09-05,17:00:15,Terminal Zarate S.A.,636025521,ITHACA,129.6,DelGuazu
2026-09-05,17:00:15,Esso S.a.p.a.,701137000,PUNTA PIRAMIDES,446.5,DelGuazu
2026-09-05,17:00:15,R.h.a.s.a. - Pobater,701006318,MAMACOTA,158.4,DelGuazu
